,fid,count,max(csize)
0,633562550,5336005,466291984
1,633516647,5170623,548912170
2,633270705,2670376,97789026
3,633517291,1234325,385516060
4,633517590,892126,178609243
5,633516996,789549,191485277
6,632381427,759532,97659685
7,632384594,759335,296614179
8,444541202,661971,39405
9,444541195,657540,60282
10,444117094,648914,4931
11,514777025,645206,4800
12,467839152,640049,5110
13,475583181,634953,9818
14,475583084,634678,6407
15,480417455,631410,6628
16,480417712,622302,10286
17,480417907,622300,10286
18,480417446,622299,7050
19,480417454,622283,7338
20,486538837,599635,4875
21,486515750,599220,8328
22,486516217,599070,10910
23,34090562,580896,516156688
24,16986745,580582,516156688
25,444541199,577566,25017
26,444541166,573191,32304
27,265649557,572984,54785
28,444541201,568822,25023
29,444541194,564477,32377
30,448443262,550032,1420061798
31,632381506,477067,180357512
32,577246757,453779,1185995054
33,545371050,444789,31228
34,545386424,444541,31202
35,634817811,416864,548911348
36,634819333,412857,466291102
37,517643089,381258,1303326
38,517655319,381166,10184
39,517586776,381091,175241
40,517586779,380982,175159
41,517586828,380942,207403
42,517655182,380939,10840
43,386903216,375112,1420061798
44,519064664,363919,2690
45,519060258,363896,202945
46,519060261,363850,526
47,519059696,363774,12015
48,374442278,354194,55414
49,374442269,354194,32483
50,374442274,354189,32566
51,514778017,341665,32585
52,514778021,341662,32348
53,514778018,341659,32709
54,514777350,322997,5286
55,514777349,322992,5628
56,515515130,314243,29613
57,475611924,310616,5628
58,475617530,310606,5286
59,454073370,285589,4123555948
60,608407931,284518,16286014
61,608407949,284365,17239930
62,608407946,284230,8487023
63,608407296,283981,8549008
64,608407378,283888,17164425
65,608407963,283705,16654729
66,453657598,278625,4149925257
67,454151105,277818,4159005618
68,453288042,277105,4151808683
69,454564218,276962,4133238580
70,454324535,276772,4169476353
71,608407908,276090,21328057
72,454755206,269282,4118865583
73,454246028,266640,2773841690
74,631379531,264434,943
75,517576855,261354,5426
76,454939108,260720,4176961467
77,631362407,230838,6769800
78,516869255,219454,3199270520
79,516864574,213374,2490503292
80,448460887,209617,394696646
81,516867095,209616,2621223557
82,516865595,204704,241063797
83,454099488,201975,4111869061
84,516864078,199427,1149134821
85,634346671,195558,1795259
86,577246751,190805,1119717041
87,611465714,186184,189711453
88,611325780,186088,7579510
89,526985229,185085,641159827
90,610178050,180248,616338220
91,610178078,180236,6779854
92,610178034,175556,1882328006
93,516865724,171274,2402383508
94,526985916,170243,239190606
95,516862918,160355,3140294482
96,516864625,155020,2440734566
97,457065712,154730,8290979
98,457067315,148385,12061995
99,16986684,148244,962543171
100,457068395,148055,15452166
101,457069211,148038,17247731
102,457068801,146878,14126026
103,457068290,146844,12527095
104,457069533,144913,10253963
