,year,month,day,sum(wb),sum(rb),count(1)
0,2017,4,11,318779013459246.0,2272432354567598.0,5162363
1,2017,1,2,199323769250021.0,571300864842385.0,3559524
2,2017,1,8,339016188604516.0,628736669578960.0,4210684
3,2017,3,22,439891525337505.0,1875771081415990.0,7617937
4,2017,4,5,224548568227705.0,695087178934292.0,6142172
5,2017,2,3,386800078816831.0,1705233641517541.0,66509163
6,2016,12,6,745431234747082.0,1055251458025887.0,7087905
7,2017,2,24,311089508534010.0,1362275868326306.0,4216450
8,2017,1,12,284668999262992.0,776085460195883.0,8076266
9,2017,4,28,157775241519282.0,202612324787694.0,1480921
10,2017,3,12,278280241531982.0,3816618076784601.0,4352260
11,2017,5,25,327021742799578.0,883481420708588.0,13582546
12,2017,3,26,143855161730913.0,613283572861560.0,2321789
13,2017,2,23,345779144078892.0,1928596826385513.0,4328905
14,2017,6,14,209462734945503.0,289169103801000.0,1313060
15,2016,12,8,585568376462277.0,841018084210444.0,5387290
16,2017,7,26,1115232717341572.0,1338186035484218.0,13271738
17,2017,7,11,268277470913144.0,291224433952415.0,2613189
18,2017,6,27,878961326257760.0,710892717692662.0,4989145
19,2017,5,19,142678419775778.0,734659924716308.0,3432288
20,2016,12,31,188801473591745.0,566544691296271.0,2527796
21,2017,8,22,637082474219027.0,612000050814608.0,12112884
22,2016,12,22,307139275299225.0,750431688671789.0,4522865
23,2017,3,17,514821645215528.0,3741109201924513.0,6249647
24,2016,12,5,1232591326431333.0,1455342454981924.0,7847796
25,2016,11,23,961464968688487.0,1161990347541032.0,6601247
26,2016,12,16,348662741492895.0,478120938606360.0,3982121
27,2017,3,18,283356933969674.0,2810778657524581.0,8527303
28,2017,2,8,615119406407006.0,1434785640877477.0,6251656
29,2017,8,20,795861479677943.0,533092177302089.0,2056226
30,2017,4,17,304608674457507.0,882207501575004.0,8212158
31,2017,2,22,291370894336592.0,1188865123549438.0,3879222
32,2016,12,7,795062462916435.0,1004571522104107.0,6848603
33,2017,5,12,202802499792067.0,334860255276319.0,3802696
34,2017,7,30,1399673948017981.0,1324653954257601.0,8898003
35,2017,8,8,2075098637255577.0,1521483403869257.0,12836425
36,2017,5,22,189160825900090.0,258391407333304.0,2588895
37,2017,5,28,431320175783156.0,974947578973092.0,7643964
38,2017,2,12,424823941170896.0,1652621538815609.0,6772219
39,2017,2,25,683061698932658.0,2539231464107767.0,6734765
40,2017,5,4,1165723481074976.0,1270136669750718.0,7139055
41,2017,3,7,474210773911496.0,2005078524648154.0,4390275
42,2017,8,24,366566576277453.0,446152085083858.0,13072680
43,2017,6,18,622104897719128.0,356078868650155.0,1724459
44,2017,2,26,379174580137264.0,2306036272740693.0,5632851
45,2016,12,1,1239115365834759.0,1435963533198118.0,7376079
46,2017,5,9,391315681169985.0,621123244438519.0,10052943
47,2017,7,7,9593946396578.0,9494088707293.0,163876
48,2017,8,9,1590259687654600.0,1178795069122109.0,11695166
49,2017,2,16,459485640857002.0,2297497395547580.0,4558205
50,2017,2,5,503160525716663.0,860291227232245.0,3682093
51,2017,2,2,265753353591098.0,1661671149979619.0,6517949
52,2017,6,11,169754517751026.0,91062936527380.0,812953
53,2017,8,15,638716933815230.0,660846331904200.0,6046810
54,2017,8,6,1709694400703669.0,1580600298545080.0,13287607
55,2017,1,10,287592414274789.0,632867180167526.0,4954995
56,2017,7,18,1306749346849915.0,1338283480137833.0,16919606
57,2017,8,29,1041916068601615.0,1029282839120593.0,14910316
58,2017,3,28,419079302235154.0,1914632515983700.0,4407410
59,2016,12,25,249024620375253.0,799163739860423.0,5378182
60,2016,12,3,1500148085076095.0,1247915605920146.0,4383031
61,2017,8,7,1765304726587187.0,1953763438546662.0,25094605
62,2017,3,20,335064227617222.0,2610286944638158.0,11258992
63,2017,4,29,71913604819818.0,237319201586320.0,2178293
64,2017,4,7,298568336696787.0,2095446491677161.0,6017153
65,2017,3,14,449062880653602.0,4001713755157618.0,6476867
66,2017,4,4,256198746273491.0,796448747562773.0,5034093
67,2016,12,9,537634093712279.0,894674642898464.0,7033579
68,2017,1,13,184872007375657.0,536663755074933.0,15028160
69,2017,7,1,435652815947566.0,506100480347131.0,2047875
70,2017,8,31,1036235380284588.0,937502806833777.0,6295126
71,2017,2,18,407762754902723.0,2095304327103571.0,3171003
72,2017,6,4,52383113047550.0,159679112724639.0,214644
73,2017,6,7,317106730239110.0,660254102189559.0,4132752
74,2017,6,13,71581698194763.0,353090388550378.0,1941968
75,2017,3,9,336440936000753.0,1765546746558191.0,4980859
76,2017,4,15,215004978902044.0,1182211678468474.0,2758189
