,reads,readfrom,averageread
0,1,85076752,154498119.38032416
1,2,35638176,380160053.0901611
2,3,10698176,338938415.30524623
3,4,6554897,449921341.54879826
4,5,3113288,455389382.60635364
5,6,1919980,494994373.9555521
6,7,1075188,514899971.5102214
7,8,824493,502855518.8391907
8,9,524551,540126820.5401154
9,10,475359,465879801.20789456
10,11,403944,404459860.7374579
11,12,399151,364795268.8353986
12,13,288224,383406936.47074354
13,14,249933,432668562.6318668
14,16,202361,429253255.565738
15,15,198797,435133786.64632726
16,17,155022,418702602.53383017
17,18,154931,429927792.0927918
18,20,142490,301910343.18992823
19,19,126292,348858591.5562179
20,21,115967,305796283.78829485
21,22,111995,308693308.0269143
22,23,89183,335154139.92092407
23,24,88525,333554806.6690736
24,40,73518,110151467.69004805
25,25,63295,367649039.2801246
26,26,57191,395632877.8517881
27,28,53983,348602581.3947533
28,27,50078,381471845.5650328
29,29,45777,352368367.35617405
30,36,45167,244856414.67171094
31,30,44669,344151314.0583395
32,34,41892,324238684.2306772
33,32,40508,346286677.17689794
34,31,39533,351021618.46212757
35,41,38091,197482500.0705467
36,38,37093,251077211.6511556
37,33,36135,366183451.5583808
38,180,34567,132689246.04154107
39,39,33996,247227555.511837
40,37,33694,291646601.5570853
41,35,33664,355255675.1530197
42,42,31820,229710081.89771405
43,48,31255,169163860.810559
44,46,30949,188197382.18120563
45,47,29496,202925884.33381516
46,45,28404,210625585.31403717
47,49,28394,195941290.13911676
48,43,27969,237941239.65612677
49,44,27541,228377325.40301397
50,50,27398,235842150.96513906
51,52,25289,187998557.96723494
52,51,24844,196929879.27402446
53,59,22735,181152508.1312224
54,53,22243,198843392.04012796
55,54,20551,216756017.21596235
56,56,18112,226874845.40083826
57,60,18028,254666978.79705912
58,55,17870,244948509.6800264
59,57,17794,236799580.12233475
60,61,17695,200523758.70251292
61,62,17517,188165290.18528545
62,58,16718,226008052.8911817
63,63,16066,193457727.74879912
64,64,13566,220396171.82641232
65,181,13032,123973443.6103425
66,67,13028,232172934.68487623
67,65,12856,222587328.32570115
68,66,12424,235294961.11637053
69,76,11791,175469170.2879069
70,75,11049,192527130.34699127
71,68,10670,270092268.88075554
72,77,10492,192606478.2690052
73,182,10167,144168670.24017587
74,72,9856,258674379.4408256
75,104,9659,183552809.32155445
76,78,9528,201212322.68324664
77,69,9422,295339710.9028485
78,74,9301,232665867.7486902
79,70,9179,281858817.6495074
80,80,9033,215357933.04403296
81,71,8996,272069494.8971499
82,105,8687,173530004.97414201
83,106,8601,178875094.8624063
84,102,8496,167130414.60580873
85,103,8485,162587272.55185908
86,79,8440,213506166.7976094
87,360,8175,146066520.5152729
88,73,7881,278732644.5080261
89,101,7822,164710552.99728107
90,81,7487,211126793.85703456
91,100,7450,186824161.93460408
92,183,7371,173827953.5173353
93,107,7362,197062682.73787597
94,98,7139,174366147.25508916
95,83,6971,207630672.2281397
96,96,6949,174931719.51876464
97,84,6935,211269937.29444504
98,120,6821,223806982.08906323
99,82,6814,219042270.8828416
100,99,6689,183010463.02469
101,87,6502,200361446.3621998
102,90,6445,184812199.00875613
103,86,6321,210369711.69684115
104,108,6219,205961438.25030667
105,85,6202,216334588.5817383
106,162,6170,276332126.71864754
107,97,6022,186071192.06991717
108,163,5883,278169004.4701683
109,88,5861,211452978.83579054
110,161,5800,323557371.88579255
111,184,5750,211702536.7221796
112,109,5715,212109005.90828416
113,89,5714,224217535.938216
114,92,5621,217231413.59297046
115,95,5569,222538406.58250275
116,91,5517,212650767.24948865
117,122,5495,260953135.27538002
118,178,5408,214431467.96725413
119,94,5325,223764395.4961302
120,164,5296,265641716.80898255
121,93,5267,248911058.68390116
122,110,5156,220222205.60688344
123,160,5051,288666457.82242626
124,123,5034,252659170.35486174
125,121,5019,267850742.15918517
126,177,4915,205219362.8859688
127,165,4849,276800625.1168738
128,124,4730,268124997.16964126
129,118,4604,267741000.84554514
130,159,4600,294487492.5900698
131,179,4593,235392339.27924812
132,119,4573,267446514.7559203
133,166,4546,297752532.9826207
134,111,4507,243861378.6991906
135,112,4395,245780483.77678162
136,185,4275,318023437.846633
137,125,4205,294783225.28197473
138,117,4202,277534763.95705956
139,158,4119,290088928.32493293
140,248,4092,176655224.35384348
141,113,4091,270255973.45290875
142,176,4073,267193176.82570493
143,115,4002,287820366.9961585
144,167,3999,302862690.75306255
145,361,3960,156227052.95515057
146,186,3889,297430443.8945813
147,148,3887,297849207.99782705
148,126,3865,305071396.0337029
149,116,3837,298698487.52435005
150,149,3800,302811816.9973931
151,174,3757,277465866.9720598
152,173,3745,287653181.26444197
153,175,3725,275600596.6222666
154,172,3722,298585900.3389448
155,168,3720,324717146.0912939
156,114,3715,309485871.3539492
157,157,3665,369755463.9828834
158,132,3636,332912952.2367654
159,128,3598,332470801.27342016
160,133,3592,321436754.64742863
161,169,3558,333832054.88157856
162,138,3554,343362226.71783984
163,358,3524,159705131.31424898
164,131,3500,351816822.5646325
165,170,3498,345515000.39574885
166,134,3487,321619419.07634115
167,150,3483,315947664.1634013
168,127,3478,338253811.1725062
169,130,3471,346866082.920914
170,171,3465,310966881.1396133
171,359,3438,150903728.3491552
172,137,3428,334186777.98057216
173,156,3427,332818650.6615864
174,155,3390,340812111.5796822
175,136,3389,326798827.29575133
176,190,3383,353689679.0592653
177,151,3379,338617300.50377774
178,187,3369,315645881.13375807
179,140,3363,366979655.00674564
180,139,3360,345587803.321876
181,154,3359,333692064.90229005
182,152,3353,337818809.38537574
183,129,3302,352127556.11409575
184,147,3299,334302756.3692337
185,135,3277,338309287.905243
186,141,3266,372907985.15547675
187,153,3232,341852713.3930587
188,188,3222,346543144.7209726
189,146,3113,314575515.38809407
190,427,3105,152340754.51926446
191,426,3036,146200298.99362195
192,145,2899,377392715.14934045
193,142,2835,641113503.7357081
194,189,2769,418783314.1236994
195,362,2704,165649709.13973773
196,143,2691,402690023.76934
197,467,2677,166908716.8716139
198,144,2623,389364943.7944942
199,191,2539,417526903.6356214
200,428,2411,179503391.85706958
201,192,2291,424672715.5297155
202,193,2028,464888509.1627194
203,328,2005,252041087.22553217
204,194,2005,551104696.1085713
205,330,1932,262436633.4534538
206,326,1918,268338896.41658938
207,329,1898,273980342.8926994
208,327,1889,261004679.337434
209,323,1852,246345625.37578484
210,203,1843,549642005.142304
211,204,1838,513119176.1046426
212,363,1837,215019743.02221102
213,207,1832,523889466.44645375
214,325,1827,259901138.98038146
215,324,1826,297476221.8953051
