,ruid,sum(rb)
0,97564,41047775308382.0
1,85100,7466374288784.0
2,17389,202387578942.0
3,57178,20722977466158.0
4,35947,9833319212.0
5,101475,31734192920.0
6,9900,122472899.0
7,48711,16686411744851.0
8,69743,7916195167352.0
9,97705,112766027063824.0
10,40021,16013317451138.0
11,70830,29332890412.0
12,61867,201724197244.0
13,37480,3855764699787.0
14,22412,9154.0
15,11280,10117605085.0
16,78709,19998032006490.0
17,34531,91995068231143.0
18,68879,6322059921560.0
19,1352,43058090124.0
20,97094,27075466743.0
21,38615,41327673447.0
22,12393,711392348.0
23,72912,257033000407.0
24,14997,59844615304.0
25,69828,19964077910172.0
26,42754,37891979664478.0
27,23367,3006066562.0
28,47671,713317000.0
29,44505,123416317.0
30,14770,71791017015365.0
31,35331,19217496143421.0
32,9647,309838996965149.0
33,51156,1592733573924.0
34,76092,19196300777915.0
35,35593,70624066202.0
36,19149,112971905628.0
37,88890,13865763944.0
38,95934,4841695176526.0
39,12607,20235910185.0
40,102286,50319378972.0
41,92428,17867069820.0
42,97832,213146257889932.0
43,48997,19536180473558.0
44,43675,3690543384100.0
45,82922,51969959913130.0
46,88684,20884704777259.0
47,16295,2372290835857.0
48,24482,428903694953.0
49,32253,1804114647987.0
50,14124,17900704642.0
51,103663,4719257685148.0
52,91652,7877968546.0
53,21603,47479986572.0
54,21303,0.0
55,7584,9472151892.0
56,101678,1679486182.0
57,105371,18321502153.0
58,57058,18882428714670.0
59,59448,7933666281188.0
60,82907,90680025487.0
61,40131,63628516513757.0
62,90393,1748313042311.0
63,9475,10023049096373.0
64,19335,46734340.0
65,32644,48364826989228.0
66,50617,310547919960047.0
67,94306,20450590635906.0
68,51959,730878271727.0
69,94901,3303574530971.0
70,47682,42666233579522.0
71,46433,458636362018867.0
72,29340,39471576207.0
73,96770,104368536823400.0
74,13214,4533071135678.0
75,18107,2510583302490.0
76,36946,34153564.0
77,17067,6994837423978.0
78,86505,480257914966.0
79,73106,21222925151914.0
80,101667,54942562.0
81,5235,2360431052.0
82,7202,17315154357251.0
83,37858,681549120916558.0
84,90267,24989864500.0
85,49345,50696834665660.0
86,70906,953570400568893.0
87,44111,8041572070338.0
88,85623,2163318242.0
89,10162,12913383349.0
90,98736,1092558772675.0
91,12182,29911334638.0
92,105076,4461040255.0
93,36282,1522925707.0
94,30345,108839108.0
95,77408,2885670946.0
96,91452,21105527536629.0
97,48789,368298240491.0
98,38991,636241079998559.0
99,80884,3915567206376.0
100,74714,991657327597.0
101,73880,456101010295.0
102,8429,343116283144.0
103,67569,11334603065.0
104,90552,140065742086.0
105,12494,0.0
106,98479,79440681.0
107,69708,78998440416131.0
108,92083,244962779159152.0
109,63294,5476729096579.0
110,10180,474987963880.0
111,66667,91613800.0
112,70687,2778921825231.0
113,78829,6682337160671.0
114,56351,41189682900562.0
115,86084,2417906061691.0
116,36898,13072123284.0
117,29323,15642339835824.0
118,63501,19918055148061.0
119,89632,16970652486680.0
120,84629,24471536622896.0
121,17147,52864591666949.0
122,90709,4449847884379.0
123,10580,63181439055951.0
124,35145,28472751748645.0
125,84631,111730448065509.0
