,ruid,sum(wb)
0,97564,9145064070861.0
1,85100,270756186172.0
2,17389,416069135500.0
3,57178,516018.0
4,35947,0.0
5,101475,0.0
6,9900,0.0
7,48711,2087585063301.0
8,69743,587780488160.0
9,97705,208426189184.0
10,40021,7482968611766.0
11,70830,0.0
12,61867,0.0
13,37480,331660649150.0
14,22412,24991388.0
15,11280,0.0
16,78709,3072412385050.0
17,34531,5579270544.0
18,68879,1538407368588.0
19,1352,0.0
20,97094,945207718.0
21,38615,0.0
22,12393,0.0
23,72912,62777935246.0
24,14997,0.0
25,69828,4583783624068.0
26,42754,6983391966664.0
27,23367,0.0
28,47671,45205685376.0
29,44505,0.0
30,14770,475014186856.0
31,35331,2090388966320.0
32,9647,0.0
33,51156,506834982624.0
34,76092,1401686706834.0
35,35593,0.0
36,19149,0.0
37,88890,0.0
38,95934,0.0
39,12607,0.0
40,102286,269912560.0
41,92428,0.0
42,97832,18159193045347.0
43,48997,0.0
44,43675,0.0
45,82922,73590755378280.0
46,88684,15597933616.0
47,16295,1456666225613.0
48,24482,51961284484.0
49,32253,93643166424.0
50,14124,0.0
51,103663,0.0
52,91652,0.0
53,21603,0.0
54,21303,72882520.0
55,7584,0.0
56,101678,0.0
57,105371,0.0
58,57058,5742041260705.0
59,59448,5382174709002.0
60,82907,13073438264.0
61,40131,13931305989195.0
62,90393,0.0
63,9475,2375013810.0
64,19335,0.0
65,32644,3008004546030.0
66,50617,4120434032015.0
67,94306,0.0
68,51959,0.0
69,94901,556069398.0
70,47682,215470576.0
71,46433,0.0
72,29340,24014698384.0
73,96770,0.0
74,13214,635232844756.0
75,18107,5431625286.0
76,36946,0.0
77,17067,5842193751817.0
78,86505,0.0
79,73106,2184067706534.0
80,101667,0.0
81,5235,0.0
82,7202,27349684281436.0
83,37858,106947674291882.0
84,90267,0.0
85,49345,0.0
86,70906,13625677064269.0
87,44111,0.0
88,85623,0.0
89,10162,216517780496.0
90,98736,0.0
91,12182,0.0
92,105076,0.0
93,36282,0.0
94,30345,0.0
95,77408,58958358.0
96,91452,2965511665814.0
97,48789,0.0
98,38991,0.0
99,80884,252687502020.0
100,74714,1051691314.0
101,73880,33046922828.0
102,8429,1828922316743.0
103,67569,0.0
104,90552,36418325040.0
105,12494,38401127358.0
106,98479,0.0
107,69708,318049011141.0
108,92083,283807473852.0
109,63294,235725765694.0
110,10180,1871242849269.0
111,66667,25036.0
112,70687,1172543570.0
113,78829,612892443274.0
114,56351,0.0
115,86084,210260617745.0
116,36898,0.0
117,29323,1502496020578.0
118,63501,195874672472.0
119,89632,91878718572.0
120,84629,313643664168.0
121,17147,4555367153916.0
122,90709,671674946320.0
123,10580,33192784.0
124,35145,11229995453391.0
125,84631,46728173879034.0
126,23464,52760384556.0
127,51233,501447806.0
128,31365,18765160310533.0
129,90272,0.0
130,103660,0.0
131,100858,0.0
132,91545,37513420230.0
133,93090,0.0
134,97299,168870750438.0
135,12117,431582454382.0
136,13052,260952055160.0
137,23604,8887554500.0
138,24816,0.0
139,23667,0.0
140,98996,41849296326.0
141,56583,0.0
142,88991,0.0
143,32425,8775803435648.0
144,29426,8343313702822.0
145,1574,411025637250.0
146,92961,170443878128.0
147,29575,252565332671.0
148,69636,2742922521044.0
149,82766,19439218489.0
150,94404,68340510.0
151,83402,0.0
152,32636,0.0
153,12868,0.0
154,59003,0.0
155,34009,0.0
156,94405,0.0
157,51727,0.0
158,78912,0.0
159,41196,11274615038.0
160,23605,92839610664.0
161,28997,0.0
162,24174,0.0
163,96777,1707503942.0
164,100496,4019734057528.0
165,72531,21286420330408.0
166,32518,176606541541908.0
167,96956,224027861404.0
168,97229,0.0
169,74916,1713143938614.0
170,83669,111420649648701.0
171,24085,6421828488950.0
172,12329,2556271612361.0
173,101965,0.0
174,90836,0.0
175,103472,0.0
176,92842,0.0
177,81839,0.0
178,95116,0.0
179,12662,57200808774.0
180,15083,91666975519824.0
181,42642,1633863329568.0
182,31220,1220256628041.0
183,14096,0.0
184,43222,71974464816.0
185,91577,4837730554.0
186,48721,6222258696.0
187,102366,1708843274.0
188,90372,0.0
189,51751,17870485608327.0
190,34970,11453206431949.0
191,57600,182024585890.0
192,57855,34524491423.0
193,25256,0.0
194,56390,6644132188930.0
195,43052,10866302034.0
196,15454,11901777452.0
197,91588,74710357814.0
198,94003,14211633440.0
199,3528,96792932646.0
200,33018,0.0
201,104803,0.0
202,3123,0.0
203,38748,1053532876.0
204,77555,1574912175404.0
205,37811,77937111269.0
206,12148,4934347090663.0
207,86279,109232452.0
208,57865,0.0
209,82349,2945522616.0
210,21288,0.0
211,101382,0.0
212,38274,4723064929560.0
213,32189,994976873860.0
214,71684,664663634118.0
215,42068,1503690566740.0
216,42932,886903565508.0
217,86707,0.0
218,46735,1911869777977.0
219,75595,829947769424.0
220,75640,122291932978.0
221,79775,0.0
