,ruid,count
0,97564,128218
1,85100,593774
2,17389,9377
3,57178,132161
4,35947,405
5,101475,137
6,9900,1
7,48711,188687
8,69743,23654
9,97705,142353
10,40021,512379
11,70830,345
12,61867,49
13,37480,163615
14,22412,9
15,11280,26
16,78709,331067
17,34531,81131
18,68879,54549
19,1352,868
20,97094,2593
21,38615,1059
22,12393,74
23,72912,11279
24,14997,1
25,69828,35679
26,42754,82402
27,23367,20
28,47671,225048
29,44505,2
30,14770,2199182
31,35331,236405
32,9647,95199
33,51156,54240
34,76092,327348
35,35593,77
36,19149,5
37,88890,4346
38,95934,8821
39,12607,1223
40,102286,675
41,92428,30
42,97832,1146095
43,48997,11929
44,43675,10225
45,82922,4188849
46,88684,111436
47,16295,31447
48,24482,2184
49,32253,13356
50,14124,302
51,103663,4399
52,91652,302
53,21603,529
54,21303,4
55,7584,7
56,101678,8
57,105371,30
58,57058,89943
59,59448,466315
60,82907,24321
61,40131,1599546
62,90393,15842
63,9475,101442
64,19335,8
65,32644,563665
66,50617,1764131
67,94306,131430
68,51959,3654
69,94901,333
70,47682,22979034
71,46433,140793
72,29340,18154
73,96770,225916
74,13214,5916
75,18107,22655
76,36946,2
77,17067,147334
78,86505,6238
79,73106,75809
80,101667,9
81,5235,5
82,7202,3674182
83,37858,12415822
84,90267,255
85,49345,73992
86,70906,693887
87,44111,19111
88,85623,296
89,10162,2918
90,98736,1168
91,12182,215
92,105076,19
93,36282,11
94,30345,19
95,77408,103
96,91452,564446
97,48789,630
98,38991,582398
99,80884,5096
100,74714,6706
101,73880,543
102,8429,22552
103,67569,83
104,90552,18344
105,12494,18
106,98479,11
107,69708,1842377
108,92083,535248
109,63294,7247
110,10180,112007
111,66667,21
112,70687,4080
113,78829,199929
114,56351,13828
115,86084,1983450
116,36898,68
117,29323,279859
118,63501,79494
119,89632,49581
120,84629,60740
121,17147,348084
122,90709,31851
123,10580,54781
124,35145,196407
125,84631,147009
126,23464,7353
127,51233,44681
128,31365,561448
129,90272,104
130,103660,290
131,100858,560
132,91545,1561
133,93090,84
134,97299,4881
135,12117,56617
136,13052,3021
137,23604,348
138,24816,39
139,23667,682
140,98996,427
141,56583,2891
142,88991,178
